Month,Total Trips,Total Stations,Trips per Station,Highest Start Station,Highest End Station,Total Bikes Used,Bike per Station,Trips per Bike,Female Ratio,Unknown Gender Ratio,Mode Age,Mode Age Ratio,Subscriber Ratio,Mean Trip Duration,Median Trip Duration
2013-07-01,843416,329,2563.6,W 20 St & 11 Ave,E 17 St & Broadway,5461,16.6,154.4,0.186,0.207,30-39,0.351,0.793,16.64,12.15
2013-08-01,1001958,330,3036.2,E 17 St & Broadway,E 17 St & Broadway,5750,17.4,174.3,0.199,0.186,30-39,0.348,0.814,16.33,12.07
2013-09-01,1034359,330,3134.4,W 20 St & 11 Ave,E 17 St & Broadway,5444,16.5,190.0,0.212,0.14,30-39,0.327,0.86,15.08,11.22
2013-10-01,1037712,330,3144.6,8 Ave & W 31 St,E 17 St & Broadway,5722,17.3,181.4,0.218,0.094,20-29,0.316,0.906,13.76,10.37
2013-11-01,675774,330,2047.8,8 Ave & W 31 St,E 17 St & Broadway,5978,18.1,113.0,0.214,0.065,20-29,0.313,0.935,12.85,9.43
2013-12-01,443966,329,1349.4,8 Ave & W 31 St,E 17 St & Broadway,6310,19.2,70.4,0.2,0.044,30-39,0.301,0.956,12.53,8.92
2014-01-01,300400,329,913.1,Pershing Square N,Pershing Square N,6354,19.3,47.3,0.19,0.024,30-39,0.325,0.976,12.23,8.55
2014-02-01,224736,329,683.1,Lafayette St & E 8 St,Lafayette St & E 8 St,5699,17.3,39.4,0.185,0.03,30-39,0.319,0.97,14.58,9.07
2014-03-01,439117,331,1326.6,E 42 St & Vanderbilt Ave,Lafayette St & E 8 St,6298,19.0,69.7,0.195,0.052,30-39,0.322,0.948,11.93,8.93
2014-04-01,670780,329,2038.8,E 42 St & Vanderbilt Ave,E 17 St & Broadway,6532,19.9,102.7,0.2,0.094,30-39,0.324,0.906,13.86,10.18
2014-05-01,866117,328,2640.6,E 42 St & Vanderbilt Ave,E 17 St & Broadway,6186,18.9,140.0,0.202,0.124,30-39,0.326,0.876,14.67,10.9
2014-06-01,936880,328,2856.3,8 Ave & W 31 St,E 17 St & Broadway,6358,19.4,147.4,0.211,0.126,30-39,0.329,0.874,14.87,11.22
2014-07-01,968842,328,2953.8,8 Ave & W 31 St,E 17 St & Broadway,6204,18.9,156.2,0.209,0.123,30-39,0.33,0.877,14.33,10.85
2014-08-01,963489,326,2955.5,8 Ave & W 31 St,E 17 St & Broadway,5958,18.3,161.7,0.204,0.141,30-39,0.333,0.859,14.74,11.13
2014-09-01,953887,328,2908.2,8 Ave & W 31 St,E 17 St & Broadway,5888,18.0,162.0,0.213,0.104,20-29,0.314,0.896,14.97,10.67
2014-10-01,828711,329,2518.9,8 Ave & W 31 St,8 Ave & W 31 St,5875,17.9,141.1,0.208,0.084,20-29,0.312,0.917,14.73,10.15
2014-11-01,529188,329,1608.5,8 Ave & W 31 St,Lafayette St & E 8 St,5674,17.2,93.3,0.207,0.053,20-29,0.3,0.947,13.2,9.27
2014-12-01,399069,330,1209.3,8 Ave & W 31 St,Lafayette St & E 8 St,4728,14.3,84.4,0.191,0.041,30-39,0.298,0.959,12.43,8.85
2015-01-01,285552,330,865.3,8 Ave & W 31 St,8 Ave & W 31 St,4271,12.9,66.9,0.182,0.02,30-39,0.315,0.98,10.91,8.4
2015-02-01,196930,328,600.4,8 Ave & W 31 St,W 41 St & 8 Ave,4466,13.6,44.1,0.168,0.012,30-39,0.305,0.988,10.82,8.45
2015-03-01,341826,329,1039.0,8 Ave & W 33 St,8 Ave & W 33 St,4854,14.8,70.4,0.184,0.038,30-39,0.304,0.962,12.24,8.97
2015-04-01,652390,327,1995.1,Lafayette St & E 8 St,Lafayette St & E 8 St,5531,16.9,118.0,0.197,0.102,30-39,0.318,0.899,15.5,10.22
2015-05-01,961986,327,2941.9,8 Ave & W 31 St,Pershing Square North,5476,16.7,175.7,0.193,0.174,30-39,0.323,0.826,16.67,11.25
2015-06-01,941219,326,2887.2,8 Ave & W 31 St,Pershing Square North,5897,18.1,159.6,0.2,0.139,30-39,0.322,0.861,15.08,10.77
2015-07-01,1085676,330,3289.9,8 Ave & W 31 St,8 Ave & W 31 St,7041,21.3,154.2,0.2,0.167,30-39,0.327,0.834,16.13,11.1
2015-08-01,1179044,419,2813.9,8 Ave & W 31 St,Lafayette St & E 8 St,7831,18.7,150.6,0.2,0.189,30-39,0.329,0.813,16.96,11.33
2015-09-01,1289699,453,2847.0,8 Ave & W 31 St,8 Ave & W 31 St,7936,17.5,162.5,0.209,0.164,30-39,0.314,0.837,17.51,11.15
2015-10-01,1212277,463,2618.3,Pershing Square North,Lafayette St & E 8 St,7895,17.1,153.5,0.212,0.122,30-39,0.31,0.879,18.0,10.55
2015-11-01,987245,467,2114.0,Pershing Square North,Pershing Square North,7694,16.5,128.3,0.213,0.104,30-39,0.306,0.898,16.2,9.97
2015-12-01,804125,471,1707.3,Pershing Square North,Pershing Square North,7248,15.4,110.9,0.207,0.086,30-39,0.304,0.916,15.76,9.5
2016-01-01,509478,472,1079.4,Pershing Square North,Pershing Square North,7256,15.4,70.2,0.205,0.05,30-39,0.324,0.952,14.12,8.72
2016-02-01,560874,472,1188.3,Pershing Square North,Pershing Square North,7483,15.9,75.0,0.201,0.055,30-39,0.316,0.947,14.62,8.78
2016-03-01,919921,473,1944.9,Pershing Square North,Pershing Square North,7484,15.8,122.9,0.207,0.103,30-39,0.316,0.899,17.0,9.88
2016-04-01,1013149,472,2146.5,Pershing Square North,Pershing Square North,7156,15.2,141.6,0.204,0.131,30-39,0.318,0.871,17.91,10.42
2016-05-01,1212280,475,2552.2,Pershing Square North,Pershing Square North,7429,15.6,163.2,0.206,0.147,30-39,0.322,0.868,17.54,10.98
2016-06-01,1460318,475,3074.4,Pershing Square North,Pershing Square North,7882,16.6,185.3,0.215,0.136,30-39,0.325,0.893,16.5,11.27
2016-07-01,1380110,483,2857.4,Pershing Square North,Pershing Square North,8143,16.9,169.5,0.215,0.15,30-39,0.326,0.854,16.67,11.2
2016-08-01,1557663,574,2713.7,Pershing Square North,Pershing Square North,9284,16.2,167.8,0.218,0.14,30-39,0.327,0.86,16.34,11.28
2016-09-01,1648856,616,2676.7,Pershing Square North,Pershing Square North,9823,15.9,167.9,0.225,0.133,20-29,0.314,0.866,15.79,11.35
2016-10-01,1573872,608,2588.6,Pershing Square North,Pershing Square North,10081,16.6,156.1,0.227,0.109,20-29,0.312,0.901,15.43,10.62
2016-11-01,1196942,606,1975.2,Pershing Square North,Pershing Square North,10082,16.6,118.7,0.224,0.084,30-39,0.304,0.927,14.64,10.08
2016-12-01,812192,609,1333.6,Pershing Square North,Pershing Square North,9481,15.6,85.7,0.213,0.052,30-39,0.299,0.96,12.93,8.88
2017-01-01,726676,609,1193.2,Pershing Square North,Pershing Square North,8176,13.4,88.9,0.211,0.044,30-39,0.314,0.968,12.96,8.77
2017-02-01,791647,614,1289.3,Pershing Square North,Pershing Square North,8439,13.7,93.8,0.217,0.066,30-39,0.314,0.945,13.55,9.25
2017-03-01,727665,614,1185.1,Pershing Square North,Pershing Square North,9765,15.9,74.5,0.211,0.049,30-39,0.312,0.963,13.16,8.98
2017-04-01,1315404,613,2145.8,Pershing Square North,Pershing Square North,9962,16.3,132.0,0.219,0.131,30-39,0.319,0.856,18.1,10.82
2017-05-01,1523268,624,2441.1,Pershing Square North,Pershing Square North,10060,16.1,151.4,0.223,0.117,30-39,0.32,0.875,16.39,10.78
2017-06-01,1731594,624,2775.0,Pershing Square North,Pershing Square North,9968,16.0,173.7,0.232,0.115,30-39,0.322,0.876,17.88,11.02
2017-07-01,1735599,623,2785.9,Pershing Square North,West St & Chambers St,10423,16.7,166.5,0.231,0.136,20-29,0.325,0.849,17.67,11.27
2017-08-01,1816498,625,2906.4,Pershing Square North,Pershing Square North,10813,17.3,168.0,0.233,0.128,20-29,0.332,0.858,19.28,11.18
2017-09-01,1878098,680,2761.9,Pershing Square North,Pershing Square North,11615,17.1,161.7,0.236,0.115,20-29,0.325,0.875,16.62,10.98
2017-10-01,1897592,756,2510.0,Pershing Square North,Pershing Square North,11528,15.2,164.6,0.233,0.108,20-29,0.326,0.892,17.8,10.4
2017-11-01,1330649,750,1774.2,Pershing Square North,Pershing Square North,12776,17.0,104.2,0.229,0.072,20-29,0.305,0.933,14.88,9.43
2017-12-01,889967,752,1183.5,Pershing Square North,Pershing Square North,11119,14.8,80.0,0.219,0.049,30-39,0.298,0.961,12.75,8.78
2018-01-01,718994,763,942.3,Pershing Square North,Pershing Square North,10449,13.7,68.8,0.211,0.041,30-39,0.316,0.969,13.78,8.5
2018-02-01,843114,763,1105.0,Pershing Square North,Pershing Square North,10534,13.8,80.0,0.215,0.048,30-39,0.312,0.96,14.62,8.65
2018-03-01,976672,767,1273.4,Pershing Square North,Pershing Square North,10935,14.3,89.3,0.218,0.063,30-39,0.314,0.94,14.7,8.88
2018-04-01,1307543,766,1707.0,Pershing Square North,Pershing Square North,11913,15.6,109.8,0.225,0.094,30-39,0.315,0.886,16.18,9.92
2018-05-01,1824710,767,2379.0,Pershing Square North,Pershing Square North,12335,16.1,147.9,0.231,0.109,30-39,0.319,0.867,18.7,11.02
2018-06-01,1953103,765,2553.1,Pershing Square North,West St & Chambers St,11889,15.5,164.3,0.24,0.103,30-39,0.321,0.868,20.19,11.0
2018-07-01,1913625,768,2491.7,Pershing Square North,Pershing Square North,10672,13.9,179.3,0.241,0.11,20-29,0.326,0.851,17.91,10.93
2018-08-01,1977177,770,2567.8,Pershing Square North,Pershing Square North,11561,15.0,171.0,0.24,0.104,20-29,0.337,0.862,16.87,10.67
2018-09-01,1877884,768,2445.2,Pershing Square North,Pershing Square North,10892,14.2,172.4,0.247,0.092,20-29,0.34,0.861,16.13,10.67
2018-10-01,1878657,765,2455.8,Pershing Square North,Pershing Square North,10887,14.2,172.6,0.239,0.067,20-29,0.328,0.898,15.0,9.98
2018-11-01,1260355,761,1656.2,Pershing Square North,Pershing Square North,12228,16.1,103.1,0.23,0.053,20-29,0.312,0.924,14.16,9.32
2018-12-01,1016505,762,1334.0,Pershing Square North,Pershing Square North,13046,17.1,77.9,0.22,0.045,20-29,0.296,0.94,13.72,8.9
2019-01-01,967287,767,1261.1,Pershing Square North,Pershing Square North,12642,16.5,76.5,0.213,0.035,30-39,0.317,0.958,12.93,8.4
2019-02-01,943744,767,1230.4,Pershing Square North,Pershing Square North,12620,16.5,74.8,0.216,0.039,30-39,0.318,0.951,13.41,8.63
2019-03-01,1327960,769,1726.9,Pershing Square North,Pershing Square North,13966,18.2,95.1,0.221,0.054,30-39,0.315,0.92,14.71,8.98
2019-04-01,1766094,784,2252.7,Pershing Square North,Pershing Square North,14457,18.4,122.2,0.232,0.078,30-39,0.316,0.87,17.66,10.08
2019-05-01,1924563,793,2426.9,Pershing Square North,Pershing Square North,12896,16.3,149.2,0.24,0.087,30-39,0.316,0.847,17.79,10.88
2019-06-01,2125370,793,2680.2,Pershing Square North,Pershing Square North,14319,18.1,148.4,0.248,0.093,20-29,0.327,0.825,18.49,11.38
2019-07-01,2181064,787,2771.4,Pershing Square North,Pershing Square North,14356,18.2,151.9,0.249,0.09,20-29,0.334,0.827,17.26,10.97
2019-08-01,2344224,794,2952.4,Pershing Square North,Pershing Square North,13983,17.6,167.6,0.251,0.096,20-29,0.349,0.811,17.5,11.23
2019-09-01,2444900,805,3037.1,Pershing Square North,Pershing Square North,15875,19.7,154.0,0.256,0.084,20-29,0.342,0.822,16.87,11.13
2019-10-01,2092573,837,2500.1,Pershing Square North,Pershing Square North,15872,19.0,131.8,0.245,0.073,20-29,0.332,0.859,15.24,10.28
2019-11-01,1478708,869,1701.6,Pershing Square North,Pershing Square North,15536,17.9,95.2,0.237,0.057,20-29,0.313,0.897,13.95,9.37
2019-12-01,955210,881,1084.2,Pershing Square North,Pershing Square North,13816,15.7,69.1,0.223,0.049,30-39,0.294,0.919,13.85,8.7
2020-01-01,1240596,893,1389.2,Pershing Square North,Pershing Square North,13049,14.6,95.1,0.225,0.046,30-39,0.314,0.924,13.08,8.82
2020-02-01,1146830,890,1288.6,Pershing Square North,Pershing Square North,13218,14.9,86.8,0.224,0.049,30-39,0.312,0.92,13.2,8.68
2020-03-01,1068457,889,1201.9,Pershing Square North,Pershing Square North,14882,16.7,71.8,0.247,0.076,30-39,0.312,0.856,19.35,11.33
2020-04-01,682762,887,769.7,1 Ave & E 68 St,West St & Chambers St,14780,16.7,46.2,0.281,0.115,30-39,0.34,0.756,26.88,16.17
2020-05-01,1487890,923,1612.0,12 Ave & W 40 St,12 Ave & W 40 St,15003,16.3,99.2,0.31,0.141,30-39,0.343,0.68,27.2,18.28
2020-06-01,1882273,958,1964.8,12 Ave & W 40 St,12 Ave & W 40 St,15849,16.5,118.8,0.312,0.134,20-29,0.35,0.694,27.32,17.13
2020-07-01,2105808,989,2129.2,12 Ave & W 40 St,12 Ave & W 40 St,17075,17.3,123.3,0.301,0.129,20-29,0.35,0.727,26.46,14.63
2020-08-01,2329514,1039,2242.1,12 Ave & W 40 St,12 Ave & W 40 St,17835,17.2,130.6,0.297,0.132,20-29,0.369,0.718,23.33,14.4
2020-09-01,2488225,1087,2289.1,W 21 St & 6 Ave,W 21 St & 6 Ave,18283,16.8,136.1,0.3,0.123,20-29,0.363,0.731,22.78,13.75
2020-10-01,2248869,1144,1965.8,1 Ave & E 68 St,W 21 St & 6 Ave,18472,16.1,121.7,0.291,0.115,20-29,0.359,0.757,20.22,12.55
2020-11-01,1736704,1152,1507.6,1 Ave & E 68 St,1 Ave & E 68 St,18993,16.5,91.4,0.286,0.105,20-29,0.335,0.784,19.18,11.77
2020-12-01,1088929,1174,927.5,1 Ave & E 68 St,1 Ave & E 68 St,16841,14.3,64.7,0.267,0.087,30-39,0.296,0.845,16.87,10.27
2021-01-01,1095346,1221,897.1,1 Ave & E 68 St,1 Ave & E 68 St,14720,12.1,74.4,0.265,0.083,30-39,0.317,0.863,15.57,9.67
2021-02-01,634631,1274,498.1,1 Ave & E 68 St,1 Ave & E 68 St,15770,12.4,40.2,0.073,0.73,30-39,0.293,0.262,17.4,9.88
2021-03-01,1494057,1329,1124.2,1 Ave & E 68 St,1 Ave & E 68 St,22571,17.0,66.2,0.04,0.875,50-59,0.908,0.119,18.84,10.95
